Type,water- liters.day,Growth_Season,Temperature_C,Pot_Size,Light_Type,Soil_Type,Growth_Requirements,Care_Instructions,Water.ml_Notif/day,Growth_Tracker,Benefit
حمص أسود مرقط (Black chickpea - Speckled),2.36,Winter,17-34,large,Indirect light,Sandy,Deadhead spent blooms,"Water at base, not foliage",2360,Medium-Fast (70%),Good source of minerals and fiber
حمص أسود متأخر (Black chickpea - Late),1.11,Winter,13-23,large,Partial shade,Sandy loam,Mulch to retain moisture,"Water at base, not foliage",1110,Slow (40%),Good source of minerals and fiber
بازلاء سكرية غني بالبروتين (Sugar snap pea - High-Protein),2.28,Autumn,15-32,medium,Partial shade,Loamy,Regular watering,Protect from frost,2280,Medium-Fast (70%),Support heart health and lower cholesterol
عدس أحمر متعريش (Red lentil - Climbing),2.74,Winter,Oct-33,large,Full sun,Sandy,Deadhead spent blooms,Protect from frost,2740,Slow (40%),Good source of minerals and fiber
حمص أخضر عملاق (Green chickpea - Giant),0.49,Summer,14-28,ground,Full sun,Sandy,Support stems/trellis,Keep soil evenly moist,490,Fast (80%),Promote satiety and support weight control
عدس بني أسود (Brown lentil - Black),1.3,Spring,17-36,medium,Indirect light,Clay,Fertilize monthly,Keep soil evenly moist,1300,Medium (60%),Support heart health and lower cholesterol
عدس بني غني بالبروتين (Brown lentil - High-Protein),0.91,Summer,Oct-33,medium,Indirect light,Clay,Fertilize monthly,Keep soil evenly moist,910,Fast (80%),Promote satiety and support weight control
فول أبيض (Broad bean - White),0.67,Spring,Nov-32,large,Indirect light,Sandy,Regular watering,"Water at base, not foliage",670,Medium-Fast (70%),Fix nitrogen and enrich soil fertility
فول مدحرج عملاق (Fava bean - Giant),1.53,Summer,17-23,large,Full sun,Sandy loam,Deadhead spent blooms,Trim regularly for shape,1530,Medium-Fast (70%),Promote satiety and support weight control
فول الصويا متأخر (Soybean - Late),0.85,Summer,16-26,ground,Indirect light,Well-drained,Deadhead spent blooms,Avoid overwatering,850,Fast (80%),Good source of minerals and fiber
بازلاء ثلجية متأخر (Snow pea - Late),2.76,Spring,Oct-31,ground,Partial shade,Loamy,Regular watering,"Water at base, not foliage",2760,Medium (60%),Support heart health and lower cholesterol
لوبيا مرقط (Cowpea - Speckled),2.58,Spring,20-34,medium,Indirect light,Well-drained,Fertilize monthly,Avoid overwatering,2580,Medium-Fast (70%),High in plant-based protein
لوبياء عين سود مرقط (Black-eyed pea - Speckled),2.24,Autumn,19-32,medium,Indirect light,Sandy,Mulch to retain moisture,Avoid overwatering,2240,Medium-Fast (70%),High in plant-based protein
لوبيا متأخر (Cowpea - Late),2.18,Summer,20-29,ground,Indirect light,Clay,Support stems/trellis,Trim regularly for shape,2180,Fast (80%),Good source of minerals and fiber
عدس غني بالبروتين (Lentil - High-Protein),0.54,Summer,Oct-32,large,Indirect light,Clay,Support stems/trellis,"Water at base, not foliage",540,Slow (40%),Fix nitrogen and enrich soil fertility
فاصوليا حمراء عملاق (Kidney bean - Giant),0.5,Summer,16-35,medium,Full sun,Loamy,Mulch to retain moisture,Avoid overwatering,500,Medium-Fast (70%),High in plant-based protein
فاصوليا حمراء قزمي (Kidney bean - Dwarf),0.95,Winter,Oct-26,medium,Full sun,Sandy,Regular watering,Trim regularly for shape,950,Medium (60%),Fix nitrogen and enrich soil fertility
فول متعريش (Broad bean - Climbing),1.76,Autumn,Nov-26,ground,Full sun,Clay,Support stems/trellis,Protect from frost,1760,Medium-Fast (70%),Good source of minerals and fiber
فاصوليا عملاق (Bean - Giant),0.46,Winter,18-30,large,Indirect light,Loamy,Support stems/trellis,Trim regularly for shape,460,Slow (40%),Support heart health and lower cholesterol
عدس أحمر عملاق (Red lentil - Giant),1.68,Summer,17-27,medium,Full sun,Clay,Fertilize monthly,Protect from frost,1680,Fast (80%),High in plant-based protein
حمص أحمر (Chickpea - Red),2.64,Spring,Oct-28,medium,Full sun,Sandy loam,Support stems/trellis,Trim regularly for shape,2640,Slow (40%),High in plant-based protein
بازلاء سكرية متعريش (Sugar snap pea - Climbing),1.64,Winter,18-24,large,Indirect light,Sandy,Fertilize monthly,"Water at base, not foliage",1640,Slow (40%),Support heart health and lower cholesterol
فول عملاق (Broad bean - Giant),2.86,Summer,Oct-27,medium,Full sun,Well-drained,Deadhead spent blooms,"Water at base, not foliage",2860,Fast (80%),Promote satiety and support weight control
فول الصويا قائم (Soybean - Bush),0.41,Spring,Nov-30,medium,Partial shade,Sandy loam,Deadhead spent blooms,Trim regularly for shape,410,Medium-Fast (70%),Fix nitrogen and enrich soil fertility
حمص أسود أبيض (Black chickpea - White),1.38,Spring,18-26,large,Partial shade,Well-drained,Mulch to retain moisture,Keep soil evenly moist,1380,Medium (60%),Good source of minerals and fiber
فاصوليا بيضاء قزمي (Cannellini bean - Dwarf),1.6,Winter,Oct-35,ground,Indirect light,Clay,Support stems/trellis,Avoid overwatering,1600,Fast (80%),Support heart health and lower cholesterol
حمص متأخر (Chickpea - Late),2.09,Autumn,15-33,ground,Partial shade,Well-drained,Support stems/trellis,Keep soil evenly moist,2090,Medium-Fast (70%),Promote satiety and support weight control
فاصوليا سوداء أسود (Black bean - Black),1.34,Spring,Nov-34,medium,Full sun,Loamy,Fertilize monthly,Trim regularly for shape,1340,Fast (80%),Support heart health and lower cholesterol
ترمس مبكر (Lupin - Early),0.52,Spring,16-30,large,Full sun,Clay,Regular watering,"Water at base, not foliage",520,Medium-Fast (70%),Promote satiety and support weight control
بازلاء سكرية أحمر (Sugar snap pea - Red),0.56,Summer,20-24,large,Partial shade,Loamy,Support stems/trellis,Keep soil evenly moist,560,Medium (60%),Good source of minerals and fiber
لوبيا أحمر (Cowpea - Red),0.62,Spring,17-24,ground,Indirect light,Well-drained,Support stems/trellis,Avoid overwatering,620,Slow (40%),High in plant-based protein
فاصوليا سوداء غني بالبروتين (Black bean - High-Protein),1.73,Summer,18-23,large,Full sun,Sandy,Deadhead spent blooms,Trim regularly for shape,1730,Medium-Fast (70%),Good source of minerals and fiber
حمص أسود متعريش (Black chickpea - Climbing),1.7,Winter,18-28,large,Full sun,Sandy loam,Regular watering,Avoid overwatering,1700,Medium (60%),Good source of minerals and fiber
عدس بني مرقط (Brown lentil - Speckled),1.36,Spring,19-36,medium,Indirect light,Sandy,Mulch to retain moisture,Protect from frost,1360,Fast (80%),Support heart health and lower cholesterol
فاصوليا سوداء متأخر (Black bean - Late),0.48,Winter,15-32,large,Partial shade,Sandy loam,Regular watering,Protect from frost,480,Slow (40%),High in plant-based protein
حمص أسود أحمر (Black chickpea - Red),0.97,Summer,17-23,medium,Full sun,Clay,Mulch to retain moisture,Avoid overwatering,970,Slow (40%),Fix nitrogen and enrich soil fertility
فاصوليا ليما متأخر (Lima bean - Late),2.77,Winter,20-27,medium,Indirect light,Clay,Fertilize monthly,Keep soil evenly moist,2770,Medium (60%),Good source of minerals and fiber
ترمس قزمي (Lupin - Dwarf),2.79,Spring,16-33,large,Partial shade,Well-drained,Mulch to retain moisture,"Water at base, not foliage",2790,Medium (60%),Promote satiety and support weight control
فاصوليا ليما مرقط (Lima bean - Speckled),0.63,Autumn,15-22,medium,Indirect light,Clay,Support stems/trellis,Trim regularly for shape,630,Medium (60%),High in plant-based protein
عدس أحمر أبيض (Red lentil - White),1.51,Spring,20-30,large,Indirect light,Sandy,Fertilize monthly,Protect from frost,1510,Slow (40%),Fix nitrogen and enrich soil fertility
عدس أحمر أسود (Red lentil - Black),2.5,Spring,Dec-29,medium,Partial shade,Loamy,Support stems/trellis,Protect from frost,2500,Medium (60%),Promote satiety and support weight control
فاصوليا أحمر (Bean - Red),2.11,Summer,17-31,large,Partial shade,Loamy,Mulch to retain moisture,"Water at base, not foliage",2110,Medium-Fast (70%),Promote satiety and support weight control
ترمس متعريش (Lupin - Climbing),0.68,Spring,14-23,ground,Full sun,Loamy,Regular watering,"Water at base, not foliage",680,Medium-Fast (70%),High in plant-based protein
لوبياء عين سود أسود (Black-eyed pea - Black),2.26,Autumn,20-27,ground,Partial shade,Sandy loam,Fertilize monthly,Keep soil evenly moist,2260,Medium (60%),High in plant-based protein
بازلاء عملاق (Pea - Giant),1.17,Autumn,19-36,large,Indirect light,Sandy loam,Fertilize monthly,Trim regularly for shape,1170,Medium (60%),Good source of minerals and fiber
ترمس أبيض (Lupin - White),2.42,Summer,19-32,large,Full sun,Sandy,Support stems/trellis,Protect from frost,2420,Medium-Fast (70%),Good source of minerals and fiber
بازلاء سكرية أبيض (Sugar snap pea - White),1.48,Spring,13-32,ground,Partial shade,Clay,Regular watering,Keep soil evenly moist,1480,Medium (60%),High in plant-based protein
فاصوليا ليما قائم (Lima bean - Bush),2.35,Summer,Oct-28,large,Partial shade,Sandy,Mulch to retain moisture,"Water at base, not foliage",2350,Medium-Fast (70%),Good source of minerals and fiber
فول مدحرج مبكر (Fava bean - Early),1.07,Autumn,19-27,medium,Partial shade,Sandy loam,Regular watering,Keep soil evenly moist,1070,Medium (60%),Good source of minerals and fiber
فول مدحرج قائم (Fava bean - Bush),0.64,Summer,Dec-22,medium,Full sun,Sandy,Regular watering,Keep soil evenly moist,640,Fast (80%),Promote satiety and support weight control
حمص أسود أسود (Black chickpea - Black),2.96,Spring,Oct-28,large,Indirect light,Sandy,Support stems/trellis,Protect from frost,2960,Fast (80%),High in plant-based protein
حمص أسود (Chickpea - Black),0.74,Autumn,20-25,medium,Indirect light,Loamy,Fertilize monthly,Protect from frost,740,Medium-Fast (70%),Promote satiety and support weight control
ترمس متأخر (Lupin - Late),1.68,Spring,13-27,large,Full sun,Loamy,Fertilize monthly,Protect from frost,1680,Medium (60%),High in plant-based protein
بازلاء ثلجية قائم (Snow pea - Bush),1.25,Summer,15-34,large,Indirect light,Sandy loam,Mulch to retain moisture,Keep soil evenly moist,1250,Slow (40%),Promote satiety and support weight control
بازلاء متأخر (Pea - Late),2.72,Winter,18-22,large,Full sun,Well-drained,Fertilize monthly,"Water at base, not foliage",2720,Medium (60%),High in plant-based protein
لوبياء عين سود أحمر (Black-eyed pea - Red),0.6,Autumn,13-28,medium,Partial shade,Sandy,Support stems/trellis,Keep soil evenly moist,600,Slow (40%),High in plant-based protein
فول مدحرج قزمي (Fava bean - Dwarf),1.87,Autumn,Dec-23,ground,Partial shade,Clay,Mulch to retain moisture,Protect from frost,1870,Medium-Fast (70%),Support heart health and lower cholesterol
حمص أخضر أحمر (Green chickpea - Red),2.24,Summer,17-32,medium,Partial shade,Well-drained,Regular watering,Avoid overwatering,2240,Medium (60%),Good source of minerals and fiber
فول الصويا متعريش (Soybean - Climbing),2.1,Autumn,13-24,large,Indirect light,Loamy,Deadhead spent blooms,Avoid overwatering,2100,Medium-Fast (70%),Fix nitrogen and enrich soil fertility
فاصوليا حمراء غني بالبروتين (Kidney bean - High-Protein),2.91,Winter,13-36,large,Full sun,Sandy,Regular watering,Protect from frost,2910,Medium (60%),High in plant-based protein
فول الصويا مرقط (Soybean - Speckled),0.44,Autumn,16-31,large,Full sun,Sandy,Fertilize monthly,Trim regularly for shape,440,Fast (80%),High in plant-based protein
لوبياء عين سود قائم (Black-eyed pea - Bush),2.94,Spring,13-32,medium,Partial shade,Sandy loam,Support stems/trellis,"Water at base, not foliage",2940,Fast (80%),Fix nitrogen and enrich soil fertility
فول مبكر (Broad bean - Early),2.47,Summer,17-29,large,Full sun,Well-drained,Support stems/trellis,Avoid overwatering,2470,Slow (40%),Promote satiety and support weight control
فول مدحرج متعريش (Fava bean - Climbing),1.73,Autumn,20-28,medium,Partial shade,Well-drained,Mulch to retain moisture,"Water at base, not foliage",1730,Medium-Fast (70%),Support heart health and lower cholesterol
عدس أحمر غني بالبروتين (Red lentil - High-Protein),1.83,Summer,20-24,medium,Full sun,Clay,Deadhead spent blooms,Keep soil evenly moist,1830,Slow (40%),Support heart health and lower cholesterol
لوبيا متعريش (Cowpea - Climbing),1.24,Autumn,Dec-35,ground,Partial shade,Clay,Mulch to retain moisture,Trim regularly for shape,1240,Medium (60%),Support heart health and lower cholesterol
بازلاء أحمر (Pea - Red),1.24,Spring,20-24,ground,Indirect light,Loamy,Deadhead spent blooms,"Water at base, not foliage",1240,Fast (80%),Good source of minerals and fiber
عدس متعريش (Lentil - Climbing),0.47,Spring,16-36,large,Partial shade,Sandy,Support stems/trellis,Avoid overwatering,470,Medium (60%),Good source of minerals and fiber
عدس أحمر قزمي (Red lentil - Dwarf),2.31,Winter,14-30,medium,Partial shade,Sandy loam,Regular watering,"Water at base, not foliage",2310,Slow (40%),Good source of minerals and fiber
فاصوليا بيضاء قائم (Cannellini bean - Bush),2.48,Winter,Nov-33,medium,Full sun,Loamy,Regular watering,"Water at base, not foliage",2480,Fast (80%),Support heart health and lower cholesterol
عدس أحمر متأخر (Red lentil - Late),2.47,Spring,14-23,large,Full sun,Well-drained,Mulch to retain moisture,Keep soil evenly moist,2470,Slow (40%),Support heart health and lower cholesterol
عدس أحمر قائم (Red lentil - Bush),1.95,Spring,Nov-22,medium,Full sun,Sandy loam,Support stems/trellis,"Water at base, not foliage",1950,Slow (40%),Fix nitrogen and enrich soil fertility
بازلاء ثلجية مبكر (Snow pea - Early),1.95,Winter,Oct-23,ground,Full sun,Clay,Fertilize monthly,Avoid overwatering,1950,Fast (80%),Fix nitrogen and enrich soil fertility
عدس أحمر مبكر (Red lentil - Early),2.81,Spring,Oct-35,medium,Partial shade,Well-drained,Mulch to retain moisture,Trim regularly for shape,2810,Medium-Fast (70%),Promote satiety and support weight control
عدس أحمر (Lentil - Red),0.78,Spring,20-29,ground,Full sun,Sandy loam,Support stems/trellis,Trim regularly for shape,780,Fast (80%),Good source of minerals and fiber
فاصوليا بيضاء غني بالبروتين (Cannellini bean - High-Protein),0.89,Summer,14-32,large,Indirect light,Sandy loam,Mulch to retain moisture,Keep soil evenly moist,890,Slow (40%),Fix nitrogen and enrich soil fertility
لوبياء عين سود قزمي (Black-eyed pea - Dwarf),0.74,Winter,19-31,ground,Indirect light,Sandy loam,Support stems/trellis,Keep soil evenly moist,740,Slow (40%),High in plant-based protein
فاصوليا قائم (Bean - Bush),2.03,Autumn,20-35,large,Partial shade,Loamy,Deadhead spent blooms,"Water at base, not foliage",2029,Medium (60%),Promote satiety and support weight control
بازلاء مبكر (Pea - Early),1.15,Summer,14-36,ground,Full sun,Sandy,Regular watering,Keep soil evenly moist,1150,Medium (60%),Support heart health and lower cholesterol
ترمس مرقط (Lupin - Speckled),1.7,Winter,Dec-28,ground,Partial shade,Sandy loam,Regular watering,Keep soil evenly moist,1700,Slow (40%),Fix nitrogen and enrich soil fertility
